"{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_7_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID8""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID9""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID5_12""}","{""ImportId"":""QID5_13""}","{""ImportId"":""QID5_14""}","{""ImportId"":""QID5_15""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_6""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID37_8""}","{""ImportId"":""QID37_9""}","{""ImportId"":""QID37_10""}","{""ImportId"":""QID37_11""}","{""ImportId"":""QID37_12""}","{""ImportId"":""QID37_13""}","{""ImportId"":""QID37_14""}","{""ImportId"":""QID37_15""}","{""ImportId"":""QID37_16""}","{""ImportId"":""QID37_17""}","{""ImportId"":""QID37_18""}","{""ImportId"":""QID37_19""}","{""ImportId"":""QID37_20""}","{""ImportId"":""QID37_21""}","{""ImportId"":""QID37_22""}","{""ImportId"":""QID37_23""}","{""ImportId"":""QID37_24""}","{""ImportId"":""QID37_25""}","{""ImportId"":""QID37_26""}","{""ImportId"":""QID37_27""}","{""ImportId"":""QID37_28""}","{""ImportId"":""QID37_29""}","{""ImportId"":""QID37_30""}","{""ImportId"":""QID37_31""}","{""ImportId"":""QID37_32""}","{""ImportId"":""QID37_33""}","{""ImportId"":""QID37_34""}","{""ImportId"":""QID37_35""}","{""ImportId"":""QID37_36""}","{""ImportId"":""QID37_37""}","{""ImportId"":""QID37_38""}","{""ImportId"":""QID37_39""}","{""ImportId"":""QID37_40""}","{""ImportId"":""QID37_41""}","{""ImportId"":""QID37_42""}","{""ImportId"":""QID37_43""}","{""ImportId"":""QID37_44""}"
11,4/18/23,April,25,2001,"Hispanic, Latino/Latina/Latinx, or Spanish origin",,Cisgender Female,,"Above $200,000",Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Some or a little of the time (1-2 days),Most or all of the time (5-7 days),Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Very Often,Fairly Often,Very Often,Sometimes,9,Almost Always,Almost Never,Very Frequently,Very Frequently,Somewhat Frequently,Almost Always,Somewhat Frequently,Somewhat Frequently,Almost Always,Somewhat Frequently,Somewhat Frequently,Almost Always,Very Frequently,Somewhat Frequently,Almost Never,Neutral,Agree,Agree a lot,Agree,Neutral,Agree,Agree,Neutral,Disagree a lot,Agree a lot,Disagree a lot,Disagree a lot,Agree a lot,Agree,Neutral,Disagree,Agree,Disagree a lot,Agree a lot,Disagree,Neutral,Agree a lot,Disagree,Neutral,Agree,Agree,Disagree a lot,Agree,Disagree,Agree,Agree,Agree a lot,Agree a lot,Neutral,Agree,Disagree,Disagree a lot,Agree,Agree a lot,Neutral,Agree,Agree a lot,Agree a lot,Disagree a lot
12,4/19/23,December,14,2000,Asian,,Cisgender Female,,"$90,001- $100,000",Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Almost Never,Sometimes,Fairly Often,Almost Never,7,Somewhat Infrequently,Very Infrequently,Very Infrequently,Very Frequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Very Infrequently,Somewhat Infrequently,Very Frequently,Very Infrequently,Agree,Agree,Agree,Disagree a lot,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Disagree a lot,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree a lot,Neutral,Neutral,Agree,Agree a lot,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree a lot,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree
13,4/19/23,November,8,2001,White or European American,,Cisgender Female,,"$100,001- $200,000",Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Occasionally or moderate amount of time (3-4 days),Most or all of the time (5-7 days),Occasionally or moderate amount of time (3-4 days),Some or a little of the time (1-2 days),Most or all of the time (5-7 days),Sometimes,Sometimes,Sometimes,Fairly Often,8,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Very Frequently,Very Frequently,Almost Always,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Infrequently,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree a lot,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree
14,4/19/23,October,11,2001,White or European American,,Cisgender Female,,"$10,001 - $20,000",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Almost Never,Fairly Often,Fairly Often,Almost Never,8,Very Frequently,Somewhat Frequently,Somewhat Frequently,Very Frequently,Very Frequently,Almost Always,Very Frequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Very Frequently,Very Frequently,Disagree a lot,Disagree,Agree a lot,Disagree,Disagree,Agree a lot,Agree,Agree,Disagree,Agree,Disagree,Disagree a lot,Agree,Agree,Agree,Agree,Agree,Disagree,Agree a lot,Disagree,Agree a lot,Agree a lot,Disagree,Disagree,Disagree,Disagree a lot,Disagree,Agree,Disagree,Disagree,Agree a lot,Agree,Agree a lot,Disagree,Agree,Disagree,Disagree,Agree a lot,Agree a lot,Agree,Agree,Disagree,Agree,Disagree
15,4/19/23,August,25,2001,White or European American,,Cisgender Female,,"$90,001- $100,000",Disagree,Disagree,Neutral,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Occasionally or moderate amount of time (3-4 days),Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Most or all of the time (5-7 days),Fairly Often,Fairly Often,Sometimes,Very Often,8,Very Frequently,Very Frequently,Almost Always,Somewhat Frequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Infrequently,Somewhat Infrequently,Very Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Somewhat Frequently,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree a lot,Agree,Disagree a lot,Agree,Agree,Agree,Agree a lot,Agree a lot,Disagree,Agree,Agree,Disagree,Agree a lot,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree a lot,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree
16,4/19/23,August,27,2001,Do not wish to disclose,,Do not wish to disclose,,"Above $200,000",Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Occasionally or moderate amount of time (3-4 days),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Occasionally or moderate amount of time (3-4 days),Sometimes,Sometimes,Sometimes,Sometimes,8,Somewhat Infrequently,Very Frequently,Somewhat Frequently,Very Frequently,Somewhat Infrequently,Very Frequently,Very Frequently,Very Frequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Almost Never,Disagree a lot,Agree,Agree,Agree,Neutral,Agree a lot,Agree,Agree,Agree,Agree,Disagree,Disagree a lot,Agree a lot,Agree,Agree,Disagree,Disagree,Disagree a lot,Agree a lot,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree a lot,Agree,Agree,Agree a lot,Agree,Disagree,Disagree,Agree,Neutral
17,19-Apr-23,October,5,2001,Asian,,Cisgender Male,,"$70,001- $80,000",Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Disagree,Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Sometimes,Fairly Often,Sometimes,Almost Never,6,Somewhat Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral
18,4/19/23,April,22,2002,White or European American,,Cisgender Female,,"$70,001- $80,000",Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Sometimes,Fairly Often,Sometimes,Fairly Often,6,Very Infrequently,Almost Never,Somewhat Frequently,Very Frequently,Somewhat Infrequently,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Frequently,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree a lot,Neutral,Disagree a lot,Agree a lot,Neutral,Agree a lot,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree a lot,Agree a lot,Agree a lot,Neutral,Agree,Neutral,Disagree a lot,Agree,Agree,Agree a lot,Disagree,Agree,Neutral,Agree a lot
19,4/19/23,June,26,2002,Asian,,Cisgender Female,,"Above $200,000",Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Sometimes,Fairly Often,Sometimes,Sometimes,8,Very Infrequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Very Infrequently,Almost Never,Somewhat Infrequently,Somewhat Infrequently,Almost Never,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree a lot,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree a lot,Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree a lot,Neutral,Disagree
20,4/19/23,March,5,2002,Asian,,Cisgender Female,,"$60,001- $70,000",Agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Fairly Often,Fairly Often,Sometimes,Sometimes,6,Very Infrequently,Almost Never,Somewhat Frequently,Very Frequently,Almost Never,Somewhat Frequently,Very Infrequently,Very Infrequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Almost Never,Almost Never,Very Infrequently,Almost Never,Neutral,Agree a lot,Agree,Disagree,Neutral,Neutral,Agree a lot,Neutral,Agree,Agree,Agree,Disagree,Agree a lot,Neutral,Agree,Agree a lot,Neutral,Disagree,Neutral,Agree a lot,Disagree,Agree,Neutral,Agree,Agree,Agree a lot,Agree,Agree,Neutral,Agree a lot,Neutral,Agree,Agree,Agree a lot,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree a lot,Neutral,Agree,Neutral
21,4/19/23,June,21,2002,Asian,,Cisgender Female,,"$90,001- $100,000",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Occasionally or moderate amount of time (3-4 days),Some or a little of the time (1-2 days),Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Sometimes,Fairly Often,Sometimes,Fairly Often,7,Very Infrequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Very Infrequently,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree a lot,Agree,Agree,Agree a lot,Neutral,Agree,Agree,Agree a lot,Agree,Agree,Agree a lot,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree a lot,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree
22,4/20/23,September,2,2002,White or European American,,Cisgender Female,,"Above $200,000",Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Sometimes,Fairly Often,Fairly Often,Almost Never,8,Very Infrequently,Very Infrequently,Somewhat Frequently,Very Frequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Infrequently,Very Frequently,Very Frequently,Very Frequently,Agree a lot,Agree a lot,Agree a lot,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree a lot,Disagree,Disagree,Agree a lot,Agree a lot,Agree,Disagree,Disagree,Agree,Agree a lot,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree
23,4/20/23,November,20,2003,White or European American,,Cisgender Female,,"$100,001- $200,000",Disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Occasionally or moderate amount of time (3-4 days),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Fairly Often,Fairly Often,Sometimes,Very Often,7,Somewhat Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Somewhat Infrequently,Almost Never,Somewhat Frequently,Very Infrequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Almost Never,Almost Always,Very Infrequently,Almost Never,Neutral,Agree,Agree a lot,Agree,Neutral,Agree a lot,Agree,Disagree,Disagree,Agree a lot,Neutral,Disagree a lot,Agree a lot,Agree a lot,Agree,Disagree,Agree a lot,Disagree a lot,Agree a lot,Agree,Agree,Neutral,Disagree a lot,Neutral,Neutral,Disagree,Agree,Agree a lot,Neutral,Agree a lot,Agree a lot,Agree a lot,Agree a lot,Neutral,Disagree a lot,Neutral,Disagree a lot,Agree a lot,Agree a lot,Agree,Agree a lot,Agree a lot,Neutral,Agree a lot
24,4/20/23,October,4,2003,White or European American,,Cisgender Male,,"$40,001 - $50,000",Disagree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Sometimes,Sometimes,Almost Never,Fairly Often,7,Almost Never,Very Infrequently,Somewhat Frequently,Very Frequently,Very Infrequently,Very Frequently,Very Frequently,Somewhat Frequently,Somewhat Frequently,Almost Always,Somewhat Frequently,Almost Never,Almost Always,Somewhat Frequently,Almost Never,Agree,Disagree a lot,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,Agree a lot,Agree,Neutral,Disagree,Agree a lot,Disagree a lot,Agree a lot,Agree,Disagree,Neutral,Disagree,Disagree,Disagree a lot,Disagree a lot,Agree,Agree,Agree,Disagree,Agree a lot,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree a lot,Agree,Neutral,Neutral,Neutral,Agree,Disagree
25,4/20/23,January,27,2002,Asian,,Cisgender Male,,"$70,001- $80,000",Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Sometimes,Fairly Often,Very Often,Sometimes,7,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Very Infrequently,Somewhat Infrequently,Very Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Very Infrequently,Almost Never,Somewhat Frequently,Very Infrequently,Almost Never,Neutral,Neutral,Agree,Disagree a lot,Agree,Agree a lot,Neutral,Agree,Disagree,Agree a lot,Disagree,Disagree,Agree a lot,Agree a lot,Agree,Neutral,Disagree,Agree,Agree a lot,Agree a lot,Agree a lot,Agree,Neutral,Neutral,Neutral,Agree,Agree a lot,Agree a lot,Neutral,Agree a lot,Agree a lot,Neutral,Neutral,Disagree a lot,Neutral,Neutral,Agree,Agree a lot,Agree,Agree,Disagree a lot,Agree,Agree,Agree a lot
26,4/20/23,January,10,2003,White or European American,,Cisgender Female,,,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Sometimes,Sometimes,Sometimes,Sometimes,9,Somewhat Infrequently,Very Infrequently,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Almost Never,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral
27,4/24/23,September,5,2002,White or European American,,Cisgender Female,,"Above $200,000",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Sometimes,Fairly Often,Very Often,Sometimes,8,Somewhat Infrequently,Somewhat Infrequently,Very Frequently,Very Frequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Somewhat Frequently,Somewhat Frequently,Very Frequently,Very Frequently,Almost Always,Somewhat Frequently,Very Frequently,Almost Always,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Disagree a lot,Agree a lot,Agree,Agree,Neutral,Neutral,Disagree a lot,Agree,Disagree,Neutral,Agree,Disagree,Agree a lot,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,Disagree a lot
28,4/24/23,March,24,2003,White or European American,,Cisgender Female,,"$50,001- $60,000",Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Occasionally or moderate amount of time (3-4 days),Occasionally or moderate amount of time (3-4 days),Occasionally or moderate amount of time (3-4 days),Some or a little of the time (1-2 days),Some or a little of the time (1-2 days),Sometimes,Sometimes,Almost Never,Fairly Often,5,Somewhat Frequently,Almost Never,Very Frequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Very Frequently,Very Frequently,Somewhat Infrequently,Somewhat Frequently,Somewhat Frequently,Very Infrequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Disagree,Agree,Agree,Neutral,Agree,Agree a lot,Agree,Agree,Disagree,Agree,Disagree,Disagree a lot,Agree a lot,Agree a lot,Agree,Disagree,Agree,Disagree a lot,Agree,Agree,Agree,Agree a lot,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree a lot,Agree a lot,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree a lot,Agree,Agree,Agree
29,4/24/23,March,6,2003,White or European American,,Cisgender Male,,"$10,001 - $20,000",Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Occasionally or moderate amount of time (3-4 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Almost Never,Very Often,Sometimes,Almost Never,6,Very Infrequently,Very Infrequently,Very Frequently,Very Infrequently,Somewhat Frequently,Very Infrequently,Almost Always,Almost Always,Almost Always,Very Frequently,Very Frequently,Somewhat Frequently,Very Frequently,Very Frequently,Very Infrequently,Agree,Agree,Agree,Disagree a lot,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree a lot,Disagree a lot,Agree,Agree,Agree,Agree a lot,Disagree,Agree a lot,Neutral,Agree,Neutral,Agree,Disagree a lot,Agree a lot,Agree a lot,Agree a lot,Agree,Agree a lot,Neutral,Neutral,Disagree,Agree,Agree a lot,Agree a lot,Disagree,Agree,Agree,Disagree
30,24-Apr-23,January,16,2002,"Hispanic, Latino/Latina/Latinx, or Spanish origin,White or European American",,Cisgender Female,,"$100,001- $200,000",Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Disagree,Somewhat disagree,Neutral,Disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Rarely or none of the time (less than 1 day),Some or a little of the time (1-2 days),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Rarely or none of the time (less than 1 day),Fairly Often,Sometimes,Sometimes,Fairly Often,6,Somewhat Frequently,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Somewhat Infrequently,Almost Always,Somewhat Infrequently,Somewhat Frequently,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Almost Never,Very Frequently,Somewhat Frequently,Somewhat Infrequently,Neutral,Agree,Agree,Disagree a lot,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree a lot,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree a lot,Disagree a lot,Neutral,Agree a lot,Neutral,Agree,Neutral,Neutral,Disagree
